Player,season,Pos,Age,G,MP,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,PER_next
Tim Frazier,2018,PG,27.0,59.0,838.0,11.3,0.475,12.8,-0.9,0.2,1.4,0.4,1.0,3.0,1.9,3.3,0.8,0.1,1.0,0.395,0.304,0.767,9.8
Tim Frazier,2019,PG,29.0,27.0,355.0,9.8,0.464,17.3,-4.6,-0.2,0.1,-0.1,0.2,5.3,2.8,4.2,0.5,0.1,1.3,0.444,0.366,0.759,9.8
Tim Hardaway Jr.,2015,SG,22.0,70.0,1681.0,12.1,0.512,23.8,-2.8,-0.3,0.8,0.8,0.0,11.5,2.2,1.8,0.3,0.2,1.2,0.389,0.342,0.801,11.7
Tim Hardaway Jr.,2016,SG,23.0,51.0,864.0,11.7,0.563,16.2,-0.9,0.2,1.9,0.9,1.0,6.4,1.7,1.0,0.4,0.1,0.5,0.43,0.336,0.893,15.2
Tim Hardaway Jr.,2017,SG,24.0,79.0,2154.0,15.2,0.568,22.5,0.5,1.4,4.8,2.7,2.1,14.5,2.8,2.3,0.7,0.2,1.3,0.455,0.357,0.766,14.4
Tim Hardaway Jr.,2018,SG,25.0,57.0,1885.0,14.4,0.533,23.8,-0.6,0.7,2.6,1.6,1.1,17.5,3.9,2.7,1.1,0.2,1.6,0.421,0.317,0.816,14.5
Tim Hardaway Jr.,2019,SG,27.0,71.0,2091.0,14.5,0.581,21.1,-0.1,1.0,4.4,3.4,1.1,18.1,3.4,2.4,0.8,0.1,1.6,0.393,0.34,0.841,14.5
Tim Hardaway Jr.,2020,SG,27.0,71.0,2091.0,14.5,0.581,21.1,-0.1,1.0,4.4,3.4,1.1,15.8,3.3,1.9,0.6,0.1,1.0,0.434,0.398,0.819,15.7
Tim Hardaway Jr.,2021,SG,28.0,70.0,1985.0,15.7,0.589,23.4,0.4,1.2,4.3,3.2,1.2,16.6,3.3,1.8,0.4,0.2,0.9,0.447,0.391,0.816,12.7
Tim Hardaway Jr.,2022,SG,29.0,42.0,1245.0,12.7,0.52,22.0,-0.2,0.6,2.0,0.5,1.5,14.2,3.7,2.2,0.9,0.1,0.8,0.394,0.336,0.757,12.1
Tim Hardaway Jr.,2023,SF,30.0,71.0,2152.0,12.1,0.554,20.6,-1.8,0.1,2.3,1.0,1.3,14.4,3.5,1.8,0.7,0.2,0.8,0.401,0.385,0.77,12.1
